,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,127
,Greece,,,,,,,,,,,10,,,,104,,,47,31,30,173,126,316,,,59,101,126,78,330,182,162,,193,136,50,0,,125,17,72,67,319,301,707,188,251,,526,101,124,,6,166,137,75,487,497,294,285,409,10,10,12,110,563,8114
,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,40,,,,,,,,,,,18,,,,,,,,,,,,74
,Iceland,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,India,,,,,,,,,,,,,,,,,38,115,,,,,,,,115,,,,,,,,,3,8,431,34,36,44,48,54,242,30,224,10,12,15,12,15,168,24,18,12,5,5,15,18,18,41,57,32,7,18,34,45,2001
,Indonesia,,,,,16,24,24,16,22,92,99,,,,,,,,,,,,,,,,,1,21,27,21,263,12,10,6,10,4,,42,46,8,2,20,195,449,226,158,,,2,50,7,26,6,26,6,,,,1,,7,1,11,77,27,2061
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,26,14,17,,,,30,23,17,,,,,,,,,,,,,,,,,,,,,36,18,,3,10,210
,Ireland,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,3,5,,,,,,,,,,,11
,Israel,,,,,,,,,,,45,,63,70,12,11,,,273,105,263,14,,10,10,5,5,,5,5,10,5,5,,,,,,,,,5,,,1,1,8,4,1,500,266,16,21,85,13,19,13,23,13,13,19,25,13,88,313,313,2678
,Italy,,,,,,,,,,,,1,,,,,,,1,0,,193,229,66,322,272,267,267,267,141,141,15,56,60,60,62,43,43,41,10,10,10,12,8,8,35,35,5,5,6,,20,29,29,29,45,330,330,55,57,75,12,12,11,,275,3996
,Japan,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,1,1,1,1,1,,,,,,48,40,43,43,43,43,44,33,26,26,24,24,13,10,10,10,,,,,,,,,,2,2,7,9,5,5,5,520
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,5,5,,,,,,,,,23
,Katanga,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,7,7,26
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,1,,,22
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,63,195,,,,0,0,1,,,,3,,,,,8,12,2,3,3,2,,,,,,,,,,,,424
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,6,,,,4,,,,,,,,,,,,5,9,5,5,,53
,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,4
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,6
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,28,60,56,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,4,5,4,2,,32,4,11,,,,,,,,,,73
,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,12
,Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,9,,,,,,,,,,,,,,,,16
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,4,,,,,,5,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,5,14,,,90,45,,12,45,44,81,151,379,1,,,,,,,,2,,3,,20,,36,,0,,,1,1,310,,20,311,310,,,6,7,14,1908
,Malta,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,12,,,,,6,,,,,,,,,,,,,,,,,,,18
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,22,,,,,,,,,,,,,,,,27
,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4
,Mexico,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,12,10,,,7,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,10,55
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,42
,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,9
,NATO**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,18,,,,,,,,,,,,,,,36
,Netherlands,,,,,,,,,,,,,,,,,,,,252,298,302,298,,,14,22,120,120,140,,14,313,313,316,335,335,22,22,11,,6,14,23,20,6,,,,,,,25,63,15,15,50,94,50,83,14,23,18,22,3,7,3794
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,251,,,,,,,,,,,14,,,,,,517
,Niger,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,1,1,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,Nigeria,,,,,,,,,,,,,,8,,,,,,,,,,,11,5,5,3,14,63,73,170,305,,11,51,49,,2,,,,,,,,14,,,,,,,,,,,,,,,,,,4,4,790
,Norway,,,,,,,,,,,,,40,,180,229,216,130,,,86,86,,,,,,2,,12,14,,,,,,,,,115,230,230,143,94,15,11,,,3,3,,,,,,10,10,30,20,,3,2,1,2,,,1917
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,35,0,,0,,,,,,,,,,,,,,,,,,,,,,,16,8,,64
,Pakistan,,,,,,,,,,,,,,,3,5,129,3,3,3,3,3,3,6,6,6,6,3,2,60,64,49,,,,,,,,,9,8,,,,,,2,,2,,,,,,,12,57,60,10,8,,,5,,,524
,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
,Peru,,,,,,,,,,,,,,,,,,,,,,24,17,,148,148,,,,,148,148,148,154,5,,,,,13,,0,0,,,,,,,,24,,,,,,,,,13,,,,,,,986
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,2,2,32,4,4,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,4,,,60
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,110,,,,,59,,,,,,56,263,138,,,,,,,,,,161,59,889
,Portugal,,,,,,,,,,,,3,3,2,2,4,151,11,11,11,243,,,,,,27,,9,,21,6,55,,6,,,,,4,40,748,,162,5,,,,,,,,,,,,,,,,550,,,,,,2073
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,64,80
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,42,36,37,6,,,,,,,216
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4
,Rwanda,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,2,2,1,3,3,1,,,,12,,59,,13,,,,,,,1,1,1,1,1,1,1,1,,,3,3,12,73,71,71,64,1,452
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Singapore,,,,,,,,,,,,,,,,,,,,,,,88,,88,44,44,,,,,,,,,,,,,,228,228,,,,,12,12,24,,,,,,,,,19,117,69,171,176,78,4,,,1401
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,38
,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,South Africa,,,,,,,,,0,,,,,,,,,,,,,,,,,,,10,10,5,96,92,12,5,15,14,7,2,2,2,2,2,2,,,,,,,,,18,,,,225,528,758,253,5,,,,,,,2061
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,6,26,26,20,25,46,32,20,20,174,168,165,273,163,59,173,180,161,19,25,29,30,21,294,378,415,38,70,34,26,319,33,3476
,Spain,,,,38,13,,,28,3,,2,4,0,,,,,,,,,1,,,,20,38,116,,,8,48,27,24,,,,,,,,8,15,8,,88,86,2,3,3,13,13,2,8,42,215,136,173,211,146,217,92,67,77,52,84,2128
,Sudan,,,,,,,,,,,,,10,8,0,,,,,,,,,,,,,,,12,12,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,42
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
,Sweden,,,,,,,,,,,,,1,,,,75,75,,,,,,85,128,170,128,,,,,,,,,3,8,19,,,1,1,1,1,237,35,35,126,142,157,134,117,32,14,,,3,,1,40,40,8,8,,,15,1837
,Switzerland,,,,,,,,,0,1,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,126,136,245,245,245,245,51,,,,2,4,4,4,4,3,13,41,29,13,2,11,34,13,13,,,,,1549
,Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,,90,90,,,4,,,,,20,24,,,6,,,,,,60,60,60,,,,,546
,Tanzania,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,88,44,,6,28,,,11,5,,17,45,10,11,11,36,43,4,4,11,3,,,15,30,89,,,5,,,,,,1,1,9,7,1,23,556
,Togo,,,,,,,,,,,,,,,,,,,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Tunisia,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,12,,,,,,,24,,,,,6,,,,,,,,168,,,,,,,,,,,217
,Turkey,,,,,,,,,,,,,,,66,3,42,138,26,38,102,337,384,3,25,178,184,97,216,152,234,355,196,188,266,175,138,263,710,251,271,255,97,243,341,559,493,123,596,237,303,,,,21,602,330,404,287,172,126,40,28,4,54,14,10365
,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,5
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,88,181,1,1,1,2,0,,,,164,76,,,1,6,15,19,17,16,9,9,9,4,5,4,46,4,4,6,32,8,,27,71,11,840
,Uganda,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,15,15,15,15,15,15,15,15,15,15,10,2,,8,,1,,,,,4,34,5,300,310,5,,,30,,2,2,,,,,,883
,United Nations**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,54
,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,17,154,164,,,,,,,2,,4,120,10,77,5,,,,,18,,,,,,,17,52,135,156,171,176,200,176,112,200,1970
,Unknown country,,,,,,,,,,,,,20,40,40,40,40,40,40,40,,,,,,,,,,,30,85,85,86,86,86,86,86,86,41,,,,4,4,4,,,,,,2,,,,,,,,,,,,,,,1068
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,24,8,,,,,,,,,,9,,,17,,3,,,,,,,,,73
,Venezuela,,,,,,,,,,,,,,,,,,200,,,,,,,,,163,163,3,,,,,4,,,,,,,,,5,,,5,,,,,,,8,,,,,,,8,8,32,8,,6,,612
,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8,,,,,,,,,,,16
,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,2,,,,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,26
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
